Minutes,T1,T2
1,2339.6,4366.1
2,2344.8,4379.2
3,2338.3,4370.2
4,2348.6,4367.0
5,2337.6,4370.2
6,2331.1,4368.1
7,2343.1,4373.6
8,2346.2,4381.5
9,2342.0,4365.2
10,2342.5,4372.6
11,2343.1,4372.0
12,2337.9,4366.7
13,2338.3,4372.4
14,2337.4,4369.6
15,2341.9,4358.3
16,2334.8,4369.8
17,2343.1,4370.7
18,2343.4,4368.1
19,2334.0,4374.5
20,2339.0,4372.6
21,2346.9,4379.3
22,2343.9,4377.5
23,2345.8,4370.0
24,2350.0,4362.0
25,2339.1,4371.8
26,2352.3,4365.7
27,2341.8,4373.8
28,2349.0,4371.6
29,2343.9,4363.6
30,2348.4,4368.0
31,2355.2,4370.9
32,2348.0,4365.1
33,2342.0,4372.4
34,2341.6,4365.2
35,2339.3,4373.8
36,2338.3,4366.3
37,2338.9,4364.0
38,2333.7,4376.3
39,2342.3,4367.8
40,2336.7,4367.9
41,2338.2,4375.0
42,2344.6,4372.2
43,2343.6,4373.5
44,2350.8,4366.4
45,2344.5,4369.3
46,2346.5,4368.6
47,2340.6,4366.4
48,2335.9,4376.5
49,2347.9,4372.4
50,2340.6,4368.5
51,2339.9,4373.6
52,2344.3,4372.9
53,2335.7,4362.3
54,2334.2,4370.1
55,2335.8,4376.7
56,2339.5,4371.2
57,2343.6,4365.6
58,2347.8,4368.9
59,2340.2,4377.7
60,2350.6,4374.7
61,2351.2,4368.5
62,2334.4,4371.0
63,2339.1,4369.1
64,2341.5,4363.2
65,2344.5,4373.5
66,2337.3,4372.6
67,2330.0,4375.1
68,2340.7,4366.6
69,2346.2,4373.8
70,2335.3,4370.0
71,2353.7,4365.3
72,2344.0,4378.8
73,2339.7,4366.5
74,2346.6,4373.3
75,2333.0,4369.7
76,2339.3,4371.2
77,2348.0,4384.3
78,2336.0,4363.3
79,2342.0,4378.5
80,2339.5,4375.5
81,2341.1,4375.4
82,2336.6,4375.6
83,2343.9,4373.1
