Minutes,T1,T2
1,2329.2,4365.4
2,2332.9,4382.2
3,2338.4,4366.9
4,2331.7,4375.1
5,2331.7,4375.0
6,2335.2,4369.0
7,2322.4,4365.5
8,2327.5,4375.5
9,2330.6,4369.2
10,2337.4,4364.2
11,2328.4,4366.9
12,2335.0,4365.8
13,2332.7,4370.7
14,2338.8,4369.9
15,2327.7,4377.5
16,2329.7,4376.0
17,2334.9,4367.4
18,2327.7,4375.1
19,2326.9,4375.4
20,2335.7,4368.8
21,2338.4,4381.8
22,2338.4,4376.8
23,2316.2,4368.9
24,2335.4,4373.1
25,2328.2,4368.5
26,2323.5,4374.4
27,2328.0,4381.2
28,2324.4,4372.8
29,2337.3,4369.0
30,2340.7,4372.5
31,2336.2,4377.5
32,2321.8,4368.4
33,2325.7,4360.3
34,2325.7,4375.4
35,2325.7,4377.1
36,2338.3,4371.0
37,2330.0,4374.5
38,2331.4,4382.4
39,2335.8,4372.1
40,2327.2,4363.8
41,2336.0,4375.6
42,2334.0,4365.5
43,2331.7,4377.8
44,2333.7,4365.6
45,2332.8,4377.8
46,2329.9,4367.6
47,2337.3,4371.5
48,2334.6,4363.1
49,2335.3,4363.9
50,2338.2,4374.0
51,2336.7,4366.5
52,2336.1,4367.3
53,2331.0,4370.9
54,2337.6,4366.6
55,2334.7,4372.6
56,2321.4,4363.3
57,2330.2,4386.3
58,2333.5,4364.3
59,2326.2,4372.3
60,2330.3,4373.2
61,2334.1,4374.8
62,2333.7,4369.1
63,2336.2,4377.3
64,2325.6,4356.2
65,2324.3,4373.2
66,2326.5,4373.1
67,2332.5,4358.3
68,2322.9,4375.1
69,2330.1,4364.7
70,2336.2,4376.8
71,2332.0,4364.7
72,2336.7,4371.5
73,2331.9,4369.5
74,2324.8,4385.9
75,2333.2,4372.0
76,2336.6,4371.2
77,2335.4,4374.0
78,2338.1,4370.0
79,2328.5,4372.2
80,2332.1,4370.4
81,2335.0,4378.9
82,2331.6,4371.2
83,2334.0,4379.0
84,2336.5,4372.0
85,2335.2,4365.7
86,2334.7,4368.9
87,2329.2,4367.9
88,2338.5,4379.8
89,2331.6,4364.8
90,2328.0,4380.7
91,2329.3,4368.0
92,2329.9,4376.2
93,2324.8,4373.9
94,2329.8,4378.0
95,2329.8,4368.7
96,2340.0,4375.4
97,2329.8,4368.8
98,2336.6,4367.1
99,2326.1,4368.8
100,2340.7,4365.8
101,2328.5,4368.4
102,2330.4,4374.3
103,2329.4,4368.3
104,2331.2,4366.8
105,2335.7,4377.6
106,2328.6,4377.8
107,2332.6,4372.6
108,2330.8,4356.2
109,2334.8,4374.2
110,2333.1,4373.7
111,2334.2,4375.0
112,2329.8,4373.8
113,2333.9,4378.5
114,2329.3,4372.4
115,2334.6,4369.2
116,2336.3,4366.4
117,2329.4,4368.8
118,2335.7,4377.3
119,2326.1,4370.7
120,2331.8,4375.0
121,2322.7,4375.7
122,2328.8,4373.9
123,2327.3,4380.9
124,2332.6,4367.5
125,2331.4,4385.1
126,2331.3,4367.7
127,2334.4,4377.8
128,2336.3,4363.3
129,2339.4,4379.9
130,2333.8,4366.6
131,2326.9,4374.2
132,2332.3,4364.1
133,2332.2,4367.8
134,2330.4,4374.0
135,2338.2,4365.9
136,2329.2,4369.1
137,2325.4,4367.6
138,2335.9,4371.1
139,2338.8,4363.8
140,2332.4,4363.2
141,2333.5,4366.3
142,2336.5,4378.4
143,2339.1,4369.6
144,2341.8,4368.4
145,2326.5,4382.3
146,2330.8,4385.5
147,2334.5,4364.9
148,2325.4,4369.6
149,2332.3,4366.6
150,2325.3,4373.3
151,2327.7,4365.5
152,2334.0,4371.7
153,2332.3,4372.7
154,2329.5,4370.6
155,2329.9,4372.8
156,2326.0,4364.8
157,2326.7,4369.0
158,2320.0,4361.6
159,2331.9,4372.3
160,2328.9,4374.1
161,2334.6,4367.6
162,2330.0,4373.0
163,2323.8,4378.8
164,2327.3,4370.7
165,2325.7,4372.0
166,2336.2,4356.2
167,2333.2,4366.4
168,2327.5,4367.0
169,2322.2,4361.9
170,2330.8,4364.3
171,2331.3,4375.6
172,2330.3,4374.8
173,2332.0,4362.2
174,2331.9,4371.6
175,2325.5,4367.1
176,2331.6,4376.3
177,2331.6,4364.1
178,2334.3,4381.9
179,2318.5,4370.9
180,2325.8,4364.1
181,2335.2,4354.1
182,2333.8,4356.0
183,2340.8,4355.4
184,2332.8,4355.6
185,2330.7,4361.5
186,2332.9,4358.1
187,2323.3,4350.9
188,2336.1,4366.9
