Minutes,T1,T2
1,2334.6,4381.4
2,2335.2,4387.3
3,2333.3,4380.8
4,2339.0,4382.0
5,2333.4,4382.9
6,2336.6,4376.9
7,2334.6,4388.5
8,2336.7,4377.6
9,2330.7,4383.3
10,2334.7,4381.8
11,2326.0,4381.1
12,2321.2,4383.3
13,2325.2,4374.0
14,2323.3,4390.0
15,2334.4,4374.9
16,2337.6,4387.5
17,2324.8,4391.8
18,2328.7,4391.0
19,2330.2,4384.8
20,2329.2,4381.9
21,2340.9,4384.5
22,2330.3,4383.8
23,2339.1,4391.4
24,2331.8,4385.4
25,2326.7,4370.8
26,2328.7,4375.9
27,2328.4,4384.6
28,2329.4,4393.8
29,2340.3,4378.8
30,2345.8,4385.2
31,2329.3,4378.8
32,2331.4,4372.6
33,2329.0,4385.2
34,2331.8,4387.7
35,2335.5,4395.2
36,2336.4,4382.3
37,2327.5,4389.4
38,2335.1,4384.7
39,2327.1,4381.2
40,2328.1,4376.3
41,2333.4,4386.6
42,2332.0,4386.4
43,2333.6,4380.2
44,2331.9,4381.7
45,2335.0,4390.9
46,2333.1,4383.1
47,2336.4,4382.5
48,2329.7,4383.2
49,2328.9,4386.2
50,2336.1,4380.9
51,2333.6,4383.7
52,2326.8,4386.9
53,2333.4,4388.8
54,2325.5,4383.3
55,2327.5,4382.6
56,2322.3,4385.0
57,2325.0,4387.5
58,2334.7,4377.4
59,2330.8,4386.2
60,2330.5,4388.3
61,2336.4,4382.0
62,2333.3,4376.5
63,2343.9,4389.2
64,2333.3,4385.2
65,2325.7,4391.6
66,2327.7,4379.1
67,2333.2,4389.6
68,2328.9,4387.8
69,2325.8,4385.4
70,2327.4,4386.5
71,2329.5,4381.4
72,2331.4,4378.9
73,2336.4,4385.1
74,2332.6,4389.1
75,2325.5,4392.4
76,2320.1,4393.1
77,2330.2,4386.7
78,2332.8,4387.0
79,2325.6,4391.1
80,2337.3,4389.5
81,2342.8,4382.4
82,2320.2,4388.9
83,2324.8,4384.3
84,2333.6,4386.0
85,2330.3,4378.1
86,2330.3,4380.9
87,2322.8,4386.9
88,2340.1,4377.9
89,2330.1,4391.3
90,2332.8,4387.7
91,2334.8,4371.0
92,2330.2,4386.3
93,2332.9,4389.4
94,2328.9,4378.3
95,2321.0,4373.8
96,2332.9,4379.0
97,2338.5,4381.7
98,2333.9,4384.7
99,2326.2,4383.5
100,2330.8,4388.6
101,2333.1,4382.8
102,2330.8,4376.8
103,2333.3,4388.7
104,2330.3,4380.1
105,2329.7,4389.5
106,2327.0,4381.4
107,2331.6,4395.6
108,2332.7,4383.3
109,2330.8,4391.5
110,2322.6,4380.9
111,2330.3,4385.2
112,2324.4,4368.6
113,2338.1,4376.8
114,2330.6,4373.2
115,2324.9,4373.1
116,2330.3,4378.4
117,2333.1,4382.7
118,2337.8,4384.3
119,2329.8,4379.4
120,2329.6,4384.6
121,2334.9,4388.0
122,2326.6,4387.7
123,2333.0,4388.7
124,2335.7,4382.5
125,2332.8,4374.7
126,2332.8,4382.6
127,2330.4,4389.9
128,2327.4,4383.0
129,2335.4,4385.2
130,2333.3,4381.3
131,2336.7,4387.3
132,2332.6,4380.2
133,2333.4,4391.0
134,2332.1,4389.3
135,2330.1,4388.9
136,2336.5,4375.8
137,2323.4,4383.4
138,2327.0,4383.7
139,2332.6,4382.3
140,2330.8,4389.7
141,2329.4,4383.4
142,2323.7,4379.6
143,2340.2,4395.3
144,2323.3,4377.4
145,2332.9,4385.2
146,2329.4,4383.3
147,2324.1,4381.6
148,2330.8,4381.7
149,2333.3,4383.6
150,2337.7,4382.1
151,2325.8,4391.0
152,2322.4,4383.2
153,2324.8,4386.9
154,2326.9,4379.7
155,2330.1,4378.7
156,2338.3,4385.8
157,2337.4,4385.6
158,2331.6,4383.8
159,2337.4,4386.4
160,2331.4,4377.0
161,2332.2,4377.4
162,2332.1,4384.0
163,2330.3,4387.1
164,2325.8,4381.9
165,2329.1,4381.8
166,2321.9,4391.5
167,2332.5,4386.6
168,2330.1,4387.7
169,2326.9,4380.3
170,2333.4,4385.3
171,2319.8,4383.9
172,2319.7,4377.9
173,2334.6,4389.8
174,2323.1,4380.3
175,2335.7,4374.8
176,2330.6,4386.7
177,2335.5,4379.5
178,2321.7,4384.0
179,2330.6,4381.9
180,2322.6,4381.0
181,2327.9,4391.9
182,2345.7,4391.5
183,2335.4,4381.9
184,2324.1,4378.0
185,2330.9,4388.7
186,2325.9,4381.0
187,2333.0,4375.1
188,2337.4,4389.0
189,2329.4,4389.2
190,2333.1,4384.2
191,2330.3,4384.7
192,2329.1,4385.5
193,2339.1,4394.3
194,2331.3,4374.2
195,2337.8,4369.8
196,2330.1,4385.5
197,2318.5,4385.7
198,2329.0,4378.8
199,2329.7,4382.1
200,2322.6,4388.2
201,2326.1,4382.5
202,2333.0,4377.4
203,2330.2,4384.2
204,2328.9,4389.8
205,2318.0,4380.7
206,2328.6,4383.5
207,2333.3,4383.3
208,2332.3,4380.9
209,2330.3,4382.8
210,2330.5,4388.7
211,2331.8,4395.8
212,2334.3,4374.6
213,2316.4,4378.5
214,2339.0,4380.0
215,2328.5,4375.3
216,2321.0,4387.4
217,2323.2,4381.1
218,2329.6,4387.3
219,2333.3,4377.8
220,2341.8,4378.0
221,2329.2,4377.6
222,2327.1,4384.4
223,2323.2,4387.5
224,2328.9,4392.1
225,2338.9,4382.0
226,2336.9,4374.5
227,2322.1,4374.7
228,2335.6,4383.8
229,2328.1,4392.2
230,2329.0,4380.3
231,2337.9,4381.7
232,2334.0,4390.0
233,2327.6,4385.0
234,2328.6,4385.1
235,2333.9,4375.8
236,2331.3,4392.7
237,2328.1,4383.0
238,2335.1,4387.9
239,2329.5,4376.2
240,2330.1,4379.9
241,2326.5,4386.0
242,2327.9,4382.2
243,2323.2,4382.8
244,2333.0,4392.9
245,2329.7,4389.8
246,2333.7,4381.9
247,2325.4,4386.1
248,2328.0,4380.3
249,2325.4,4387.4
250,2334.7,4377.4
251,2319.3,4385.0
252,2335.4,4383.1
253,2346.1,4395.0
254,2329.6,4387.8
255,2335.9,4377.4
256,2330.4,4386.1
257,2333.6,4374.6
258,2331.2,4379.3
259,2326.3,4377.0
260,2326.4,4382.6
261,2326.5,4376.8
262,2328.9,4376.9
263,2329.5,4374.6
264,2328.6,4379.8
265,2328.8,4390.6
266,2334.4,4388.6
267,2324.2,4380.1
268,2323.8,4383.5
269,2334.2,4384.4
270,2335.1,4407.0
271,2323.1,4377.0
272,2325.9,4382.0
273,2326.0,4379.5
274,2321.6,4374.0
275,2341.2,4381.7
276,2334.5,4389.7
277,2333.0,4376.5
278,2327.3,4375.3
279,2330.9,4384.1
280,2333.1,4381.1
281,2328.7,4385.6
282,2330.7,4379.3
283,2325.8,4380.6
284,2332.1,4381.4
285,2332.8,4387.4
286,2321.2,4388.7
287,2328.8,4381.9
288,2321.2,4382.1
289,2328.0,4381.7
290,2325.6,4380.8
291,2332.5,4381.0
292,2348.3,4389.2
293,2332.2,4385.4
294,2338.5,4384.9
295,2324.4,4389.8
296,2336.4,4377.2
297,2328.4,4371.9
298,2329.1,4379.0
299,2334.6,4382.6
300,2328.0,4376.9
301,2331.0,4387.2
302,2339.0,4383.4
303,2329.4,4382.0
304,2332.0,4378.4
305,2337.6,4385.8
306,2325.3,4386.7
307,2327.5,4379.3
308,2343.8,4372.5
309,2337.2,4390.4
310,2328.2,4369.9
311,2338.2,4387.8
312,2327.2,4379.0
313,2331.6,4383.1
314,2331.2,4375.0
315,2330.3,4378.1
316,2336.7,4382.2
317,2326.4,4379.4
318,2329.0,4385.7
319,2330.9,4376.8
320,2330.3,4376.9
321,2330.9,4370.3
322,2331.2,4381.8
323,2329.5,4385.1
324,2325.7,4382.8
325,2333.4,4388.4
326,2320.8,4383.2
327,2324.6,4391.4
328,2327.8,4392.8
329,2330.0,4387.2
330,2341.0,4379.0
331,2329.6,4384.1
332,2334.3,4379.6
333,2330.7,4387.5
334,2336.9,4382.6
335,2332.3,4382.7
336,2337.4,4383.0
337,2325.9,4378.4
338,2335.3,4389.0
339,2331.0,4387.8
340,2335.5,4377.6
341,2334.8,4382.5
342,2333.6,4375.8
343,2342.3,4377.4
344,2327.4,4389.3
345,2333.2,4381.3
346,2328.6,4378.9
347,2327.4,4380.4
348,2329.4,4378.5
349,2333.8,4375.9
350,2345.6,4383.7
351,2337.5,4393.3
352,2334.6,4370.6
353,2337.4,4377.5
354,2332.1,4373.0
355,2332.4,4378.8
356,2322.9,4380.0
357,2332.7,4374.2
358,2323.9,4386.4
359,2329.7,4381.8
360,2329.8,4380.5
361,2328.0,4387.1
362,2331.9,4384.0
363,2333.5,4383.3
364,2321.8,4379.9
365,2333.5,4384.4
366,2335.3,4375.2
367,2336.8,4380.8
368,2329.4,4378.8
369,2332.0,4378.4
370,2338.9,4387.2
371,2336.0,4376.1
372,2329.5,4378.3
373,2323.3,4380.7
374,2332.9,4386.4
375,2330.5,4378.7
376,2323.9,4387.3
377,2335.2,4387.1
378,2334.6,4391.8
379,2337.2,4379.5
380,2325.8,4389.9
381,2338.2,4378.4
382,2324.0,4383.8
383,2331.2,4380.7
384,2327.9,4386.9
385,2337.9,4378.0
386,2327.5,4376.6
387,2325.5,4387.3
388,2343.1,4380.4
389,2335.4,4381.4
390,2329.0,4388.7
391,2332.9,4383.9
392,2337.9,4383.0
393,2331.3,4379.3
394,2331.9,4376.8
395,2335.5,4375.8
396,2332.5,4371.9
397,2326.2,4381.3
398,2331.8,4390.6
399,2339.6,4376.0
400,2335.5,4388.1
401,2328.6,4389.7
402,2328.7,4382.5
403,2336.4,4383.4
404,2337.2,4394.0
405,2336.7,4385.7
406,2338.6,4369.9
407,2326.8,4384.6
408,2341.7,4387.8
409,2325.2,4394.5
410,2329.8,4381.8
411,2326.7,4371.3
412,2335.2,4377.1
413,2341.5,4384.4
414,2329.5,4371.6
415,2328.9,4385.0
416,2333.1,4379.5
417,2330.7,4374.4
418,2331.4,4389.4
419,2329.2,4386.5
420,2337.2,4379.3
421,2327.0,4392.6
422,2342.2,4392.5
423,2330.1,4386.3
424,2330.2,4379.5
