Minutes,Temperature
1,22.251
2,22.155
3,22.238
4,22.304
5,22.248
6,22.206
7,22.338
8,22.265
9,22.29
10,22.209
11,22.4
12,22.262
13,22.359
14,22.339
15,22.268
16,22.31
17,22.352
18,22.274
19,22.287
20,22.284
21,22.308
22,22.21
23,22.274
24,22.281
25,22.356
26,22.282
27,22.414
28,22.313
29,22.235
30,22.424
31,22.219
32,22.355
33,22.3
34,22.357
35,22.359
36,22.407
37,22.245
38,22.269
39,22.216
40,22.311
41,22.271
42,22.229
43,22.372
44,22.319
45,22.321
46,22.17
47,22.247
48,22.294
49,22.306
50,22.397
51,22.217
52,22.199
53,22.351
54,22.261
55,22.286
56,22.245
57,22.24
58,22.419
59,22.089
60,22.37
61,22.277
62,22.425
63,22.251
64,22.328
65,22.173
66,22.064
67,22.197
68,22.223
69,22.176
70,22.224
71,22.077
72,22.126
73,22.042
74,22.099
75,21.987
76,21.963
77,22.076
78,21.967
79,22.042
80,22.1
81,22.064
82,21.98
83,21.842
84,21.809
85,21.824
86,21.66
87,21.605
88,21.911
89,21.577
90,21.661
91,21.819
92,21.692
93,21.646
94,21.661
95,21.755
96,21.63
97,21.62
98,21.699
99,21.629
100,21.652
101,21.276
102,21.49
103,21.504
104,21.608
105,21.387
106,21.527
107,21.485
108,21.477
109,21.447
110,21.466
111,21.395
112,21.319
113,21.359
114,21.286
115,21.301
116,21.206
117,21.256
118,21.282
119,21.319
120,21.274
121,21.285
122,21.348
123,21.24
124,21.201
125,21.255
126,21.169
127,21.15
128,21.148
129,21.133
130,21.117
131,20.944
132,20.99
133,20.932
134,21.082
135,20.889
136,20.848
137,20.824
138,20.828
139,20.833
140,20.847
141,20.854
142,20.838
143,20.819
144,20.755
145,20.751
146,20.698
147,20.9
148,20.64
149,20.749
150,20.58
151,20.782
152,20.719
153,20.662
154,20.702
155,20.628
156,20.693
157,20.699
158,20.546
159,20.504
160,20.546
161,20.617
162,20.468
163,20.484
164,20.424
165,20.378
166,20.363
167,20.389
168,20.349
169,20.381
170,20.338
171,20.413
172,20.308
173,20.232
174,20.318
175,20.303
176,20.258
177,20.153
178,20.295
179,20.215
180,20.05
181,20.244
182,20.148
183,19.913
184,19.875
185,20.057
186,19.904
187,19.891
188,19.816
189,19.91
190,19.847
191,19.898
192,19.819
193,19.711
194,19.662
195,19.789
196,19.74
197,19.803
198,19.608
199,19.748
200,19.714
201,19.613
202,19.679
203,19.622
204,19.52
205,19.555
206,19.632
207,19.637
208,19.454
209,19.469
210,19.391
211,19.556
212,19.447
213,19.419
214,19.443
215,19.399
216,19.438
217,19.449
218,19.356
219,19.236
220,19.297
221,19.281
222,19.24
223,19.171
224,19.195
225,19.217
226,19.161
227,19.154
228,19.141
229,19.158
230,19.118
231,19.179
232,19.041
233,19.073
234,19.075
235,18.936
236,19.061
237,19.016
238,18.871
239,18.936
240,18.988
241,18.825
242,18.927
243,18.856
244,18.855
245,18.862
246,18.729
247,18.825
248,18.856
249,18.76
250,18.768
251,18.688
252,18.699
253,18.731
254,18.67
255,18.761
256,18.659
257,18.597
258,18.564
259,18.688
260,18.613
261,18.552
262,18.428
263,18.54
264,18.512
265,18.489
266,18.472
267,18.501
268,18.487
269,18.383
270,18.34
271,18.395
272,18.273
273,18.417
274,18.392
275,18.318
276,18.247
277,18.28
278,18.279
279,18.212
280,18.165
281,18.187
282,18.181
283,18.197
284,18.037
285,18.155
286,18.154
287,18.193
288,18.048
289,18.083
290,18.023
291,18.142
292,18.061
293,17.918
294,17.962
295,17.941
296,18.022
297,17.946
298,17.99
299,17.962
300,17.741
301,17.912
302,17.833
303,17.814
304,17.795
305,17.863
306,17.712
307,17.696
308,17.727
309,17.776
310,17.807
311,17.678
312,17.762
313,17.687
314,17.695
315,17.543
316,17.621
317,17.684
318,17.561
319,17.519
320,17.41
321,17.555
322,17.486
323,17.563
324,17.54
325,17.59
326,17.463
327,17.465
328,17.608
329,17.393
330,17.505
331,17.341
332,17.322
333,17.353
334,17.278
335,17.278
336,17.271
337,17.129
338,17.191
339,17.252
340,17.32
341,17.229
342,17.196
343,17.171
344,17.086
345,17.186
346,17.269
347,17.214
348,17.042
349,17.021
350,17.025
351,17.072
352,17.068
353,17.086
354,16.893
355,16.972
356,16.903
357,16.991
358,16.958
359,16.809
360,16.904
361,16.822
362,16.815
363,16.736
364,16.932
365,16.829
366,16.747
367,16.708
368,16.841
369,16.751
370,16.819
371,16.712
372,16.66
373,16.718
374,16.71
375,16.578
376,16.667
377,16.604
378,16.603
379,16.677
380,16.58
381,16.681
382,16.546
383,16.584
384,16.518
385,16.627
386,16.522
387,16.488
388,16.443
389,16.499
390,16.523
391,16.414
392,16.354
393,16.439
394,16.332
395,16.334
396,16.352
397,16.338
398,16.316
399,16.29
400,16.437
401,16.364
402,16.252
403,16.209
404,16.27
405,16.21
406,16.26
407,16.03
408,16.099
409,16.271
410,16.062
411,16.071
412,15.996
413,16.234
414,15.93
415,16.026
416,16.007
417,16.091
418,15.99
419,16.027
420,15.851
421,15.785
422,15.751
423,15.73
424,15.762
425,15.833
426,15.835
427,15.676
428,15.894
429,15.733
430,15.779
431,15.554
432,15.616
433,15.784
434,15.697
435,15.715
436,15.668
437,15.708
438,15.736
439,15.481
440,15.702
441,15.424
442,15.523
443,15.722
444,15.523
445,15.598
446,15.461
447,15.431
448,15.558
449,15.482
450,15.453
451,15.51
452,15.386
453,15.385
454,15.498
455,15.604
456,15.452
457,15.47
458,15.312
459,15.454
460,15.283
461,15.443
462,15.345
463,15.295
464,15.354
465,15.339
466,15.258
467,15.34
468,15.285
469,15.251
470,15.287
471,15.168
472,15.176
473,15.23
474,15.179
475,15.042
476,15.241
477,15.247
478,15.185
479,15.2
480,15.166
481,15.133
482,15.101
483,15.136
484,15.006
485,15.01
486,15.005
487,14.971
488,15.072
489,14.943
490,14.959
491,15.036
492,14.94
493,14.969
494,15.029
495,15.156
496,14.913
497,15.029
498,15.033
499,14.942
500,14.97
501,14.907
502,14.923
503,14.94
504,14.897
505,14.711
506,14.931
507,14.818
508,14.962
509,14.799
510,14.664
511,14.836
512,14.791
513,14.776
514,14.789
515,14.855
516,14.766
517,14.687
518,14.745
519,14.723
520,14.599
521,14.754
522,14.567
523,14.757
524,14.723
525,14.741
526,14.61
527,14.702
528,14.542
529,14.661
530,14.663
531,14.552
532,14.562
533,14.509
534,14.648
535,14.662
536,14.583
537,14.595
538,14.575
539,14.59
540,14.579
541,14.54
542,14.399
543,14.48
544,14.551
545,14.389
546,14.48
547,14.417
548,14.44
549,14.549
550,14.349
551,14.429
552,14.338
553,14.339
554,14.323
555,14.415
556,14.376
557,14.326
558,14.344
559,14.247
560,14.29
561,14.268
562,14.45
563,14.385
564,14.217
565,14.298
566,14.26
567,14.107
568,14.191
569,14.085
570,14.174
571,14.151
572,14.102
573,14.25
574,14.265
575,14.071
576,14.115
577,14.17
578,14.238
579,14.1
580,14.084
581,14.185
582,14.003
583,14.219
584,14.098
585,14.071
586,14.089
587,13.978
588,14.18
589,14.031
590,14.043
591,13.964
592,13.948
593,14.03
594,14.001
595,14.018
596,14.069
597,13.995
598,13.931
599,14.016
